表3-11. 營利事業銷售額(本月)－按稅務大行業別及地區別分,,,,,,,"Table 3-11.  Business Sales (Current Month) －by Industrial Classification 
on Taxation and Region",,,,,,"表3-11. 營利事業銷售(本月)－按稅務大行業別
及地區別分(續1完)",,,,,,"Table 3-11.  Business Sales (Current Month) －by Industrial Classification 
on Taxation and Region (Cont.1 End)",,,,,
,115年 3月,,,,單位：新臺幣百萬元,,,Mar. 2026,,,,Unit：NT$ Million,,115年 3月,,,單位：新臺幣百萬元,,,Mar. 2026,,,,Unit：NT$ Million
地　區　別,總　　計,"農、林、
漁、牧業","礦業及土石
採　取　業",製　造　業,"電力及燃
氣供應業","用水供應及
污染整治業",營建工程業,批發及零售業,運輸及倉儲業,住宿及餐飲業,"出版影音及
資通訊業",Region,地　區　別,金融及保險業,不動產業,"專業、科學及
技術服務業",支援服務業,"公共行政及國防；
強制性社會安全",教　育　業,"醫療保健及社
會工作服務業","藝術、娛樂及
休閒服務業",其他服務業,"其他不能
　臺 東 縣,703 ,6 ,-2 ,7 ,0 ,2 ,-2 ,284 ,12 ,245 ,1 ,　Taitung County,　臺 東 縣,1 ,6 ,6 ,16 ,－ ,2 ,1 ,33 ,56 ,30 ,　Taitung County
　花 蓮 縣,929 ,14 ,0 ,14 ,－ ,1 ,4 ,376 ,5 ,344 ,1 ,　Hualien County,　花 蓮 縣,2 ,2 ,17 ,10 ,－ ,4 ,1 ,33 ,76 ,28 ,　Hualien County
　澎 湖 縣,9 ,－ ,(D),0 ,－ ,－ ,0 ,8 ,－ ,－ ,－ ,　Penghu County,　澎 湖 縣,(D),－ ,－ ,－ ,(D),(D),(D),0 ,－ ,1 ,　Penghu County
　基 隆 市,"2,799 ",0 ,－ ,346 ,－ ,8 ,3 ,343 ,"1,545 ",348 ,0 ,　Keelung City,　基 隆 市,1 ,1 ,4 ,5 ,－ ,3 ,0 ,58 ,120 ,13 ,　Keelung City
　新 竹 市,"361,327 ",9 ,0 ,"357,359 ",－ ,1 ,"2,340 ",832 ,6 ,503 ,2 ,　Hsinchu City,　新 竹 市,4 ,5 ,19 ,10 ,－ ,7 ,0 ,60 ,151 ,20 ,　Hsinchu City
　嘉 義 市,"1,266 ",4 ,(D),225 ,－ ,4 ,42 ,471 ,5 ,257 ,1 ,　Chiayi City,　嘉 義 市,3 ,6 ,11 ,7 ,－ ,5 ,0 ,56 ,127 ,(D),　Chiayi City
　金 門 縣,23 ,－ ,(D),－ ,(D),－ ,0 ,23 ,－ ,－ ,－ ,　Kinmen County,　金 門 縣,－ ,－ ,－ ,－ ,－ ,－ ,－ ,－ ,0 ,－ ,　Kinmen County
　連 江 縣,7 ,－ ,－ ,－ ,(D),－ ,－ ,1 ,4 ,0 ,2 ,　Lienchiang County,　連 江 縣,(D),－ ,－ ,0 ,－ ,(D),－ ,－ ,－ ,－ ,　Lienchiang County
,,,,,,,,,,,,,,,,,,,,,,,,
"說　　明：1.本表資料分類自112年1月起改採「中華民國稅務行業標準分類(第9次修訂)」。
　　　　　2.本表自100年1月起，配合縣市改制直轄市(請參閱編製說明第七點)修正。",,,,,,,"Explanation：1.Since Jan. 2023, the figures are reclassified according to the ninth revision of Standard Industrial Classification on 
　　　　　     Taxation of the Republic of China.
　　　　　  2.Since January 2011, the details of the content of this table have been revised to be in accord with the redefinition of the 
　　　　　     status of special municipalities. Please refer to the Introductory Notes for more detailed information.",,,,,,,,,,,,,,,,,
附　　註：(D)表示不陳示數值以保護個別資料。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Note：(D)The figures are replaced with asterisks due to a concern of privacy.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
說　　明：,"1.本表資料分類自112年1月起改採「中華民國稅務行業標準分類(第9次修訂)」。
2.本表自100年1月起，配合縣市改制直轄市(請參閱編製說明第七點)修正。",,,,,,Explanation：,"1.Since Jan. 2023, the figures are reclassified according to the ninth revision of Standard Industrial Classification on 
   Taxation of the Republic of China.
2.Since January 2011, the details of the content of this table have been revised to be in accord with the redefinition of the 
   status of special municipalities. Please refer to the Introductory Notes for more detailed information.",,,,,,,,,,,,,,,,
附　　註：,(D)表示不陳示數值以保護個別資料。,,,,,,Note：,(D)The figures are replaced with asterisks due to a concern of privacy.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
